"","la","urn","school","school_description","adm_policy","num_pupils","perc_boys","perc_girls","perc_fsm","perc_sec_lang","perc_sen","att8","att8_eng","att8_maths","att8_fsm","att8_nonfsm","school_type","gender","att8_17"
"1971",850,140732,"LWS Academy","ACCS",NA,10,100,NA,90,0,NA,15.5,4.4,4,NA,NA,"Special School","Boys",9.3
"1972",850,131068,"Hollywater School","CYS",NA,8,88,13,50,13,NA,0.9,0,0.5,NA,NA,"Special School","Mixed",NA
"1973",851,139714,"The Portsmouth Academy","AC","NSE",97,0,100,40,28,7,47.1,10.7,9.3,35.1,55.2,"State School","Girls",43.9
"1974",851,140605,"Miltoncross Academy","AC","NSE",163,49,51,36,13,13,36.2,8.3,7.6,29.4,39.9,"State School","Mixed",39.1
"1975",851,141175,"Priory School","AC",NA,224,58,42,34,21,16,40.3,9.4,7.8,31.9,44.6,"State School","Mixed",41.7
"1976",851,141875,"Trafalgar School","AC","NSE",59,100,0,44,5,32,36.5,7.9,7.1,29.9,41.7,"State School","Boys",35.9
"1977",851,143430,"UTC Portsmouth","UTC","NR",80,86,14,30,6,39,40.7,9,9.7,38.6,41.6,"State School","Mixed",NA
"1978",851,144192,"Springfield School","ACC","NSE",213,48,52,16,4,18,46.6,10,9.4,34.6,48.8,"State School","Mixed",48.5
"1979",851,145372,"Castle View Academy","ACC","NSE",93,52,48,53,7,12,35.5,8.2,7.5,30.8,40.7,"State School","Mixed",NA
"1980",851,116463,"Mayfield School","CY","NSE",199,44,56,31,9,17,41.3,8.8,7.9,33.4,44.8,"State School","Mixed",38.4
"1981",851,140697,"Admiral Lord Nelson School","ACC","NSE",186,48,52,27,9,13,43.3,9.9,8.6,33.9,46.8,"State School","Mixed",45.9
"1982",851,116505,"St Edmund's Catholic School","VA","NSE",161,56,44,34,42,11,50.8,10.7,9.9,43.1,54.8,"State School","Mixed",52.2
"1983",851,135965,"Ark Charter Academy","AC","NSE",107,52,48,55,31,26,40.8,8.6,8.3,33.6,49.7,"State School","Mixed",45
"1984",851,143828,"Redwood Park Academy","ACS",NA,22,68,32,82,0,NA,2,0.8,0,NA,NA,"Special School","Mixed",NA
"1985",851,135308,"The Harbour School","CYS",NA,29,76,24,79,3,NA,4.4,1.4,1.7,5.2,1,"Special School","Mixed",8.7
"1986",852,146284,"Oasis Academy Sholing","AC","NR",177,47,53,27,4,8,44.6,8.8,9.1,31.8,49.3,"State School","Mixed",NA
"1987",852,116450,"Regents Park Community College","FD","NSE",125,49,51,38,23,14,40.5,9.2,7.3,34.8,44.1,"State School","Mixed",44.2
"1988",852,116453,"Redbridge Community School","FD","NSE",188,45,55,45,7,21,39.8,9,7.6,36.5,42.6,"State School","Mixed",38.4
"1989",852,116454,"Chamberlayne College for the Arts","FD","NSE",79,60,41,39,11,11,39,8.2,7.4,37.5,39.9,"State School","Mixed",32
"1990",852,137037,"Upper Shirley High School","ACC","NSE",148,50,50,20,22,10,49.7,10.6,9,44.2,51.1,"State School","Mixed",52
"1991",852,116458,"Bitterne Park School","FD","NSE",296,48,52,22,12,14,50.2,10.5,9.7,41.8,52.5,"State School","Mixed",48.5
"1992",852,116465,"Woodlands Community College","FD","NSE",103,56,44,53,8,22,33.6,7.3,6.5,29.5,38.3,"State School","Mixed",34.9
"1993",852,116469,"Cantell School","FD","NSE",184,67,33,41,54,18,47.1,8.7,9.4,40.7,51.6,"State School","Mixed",44.5
"1994",852,116507,"Saint George Catholic Voluntary Aided College Southampton","VA","NSE",147,71,29,25,42,12,53.7,10.8,9.9,50.1,54.8,"State School","Mixed",55.4
"1995",852,138476,"St Anne's Catholic School","ACC","NSE",207,NA,100,22,50,10,53.7,11.7,10.1,39.5,57.7,"State School","Girls",52.7
"1996",852,135628,"Oasis Academy Lord's Hill","AC","NSE",97,54,46,49,11,20,38.7,8,6.9,31.6,45.3,"State School","Mixed",41.8
