"","la","urn","school","school_description","adm_policy","num_pupils","perc_boys","perc_girls","perc_fsm","perc_sec_lang","perc_sen","att8","att8_eng","att8_maths","att8_fsm","att8_nonfsm","school_type","gender","att8_17"
"1",202,137181,"The UCL Academy","AC","NSE",171,52,49,59,63,14,50.3,11.2,9.4,48,53.5,"State School","Mixed",47.2
"2",202,100049,"Haverstock School","CY","NSE",199,62,38,59,71,12,42.4,9.3,8.6,38.2,48.4,"State School","Mixed",44.9
"3",202,100050,"Parliament Hill School","CY","NSE",175,NA,100,54,42,10,58.7,12.8,10.6,51.7,66.7,"State School","Girls",57.1
"4",202,100051,"Regent High School","CY","NSE",154,46,54,73,74,12,42.2,9.9,8.1,40.6,46.5,"State School","Mixed",39.9
"5",202,100052,"Hampstead School","CY","NSE",200,54,47,64,66,11,44.8,9.7,8.7,44.1,46.3,"State School","Mixed",44.2
"6",202,100053,"Acland Burghley School","CY","NSE",137,64,36,53,34,24,47.5,10.7,9.2,40.4,55.3,"State School","Mixed",48
"7",202,100054,"The Camden School for Girls","VA","NSE",107,NA,100,36,55,24,63.4,14,11.5,54,68.6,"State School","Girls",65.6
"8",202,100055,"Maria Fidelis Catholic School FCJ","VA","NSE",115,28,72,50,56,14,48.4,10.7,9.2,43.5,53.2,"State School","Mixed",42
"9",202,100056,"William Ellis School","VA","NSE",111,100,NA,52,59,8,46.3,9.7,9.7,39,54.4,"State School","Boys",44
"10",202,100059,"La Sainte Union Catholic Secondary School","VA","NSE",173,NA,100,42,53,14,54.6,12.2,9.8,49.1,58.6,"State School","Girls",57.1
"11",202,100092,"Camden Centre for Learning (CCfL) Special School","CYS",NA,17,88,12,88,12,NA,3.6,1.1,2.1,NA,NA,"Special School","Mixed",3.2
"12",203,138449,"Harris Academy Greenwich","AC","NSE",187,52,48,41,28,4,55,11.6,10.5,49.3,59,"State School","Mixed",52
"13",203,138245,"Ark Greenwich Free School","F","NSE",97,57,43,37,24,18,50.7,11.6,9.6,45.7,53.6,"State School","Mixed",50.4
"14",203,145315,"The Halley Academy","AC","NR",188,58,42,49,57,6,33,7.2,6.6,30.5,35.3,"State School","Mixed",NA
"15",203,100182,"Eltham Hill School","CY","NSE",171,NA,100,41,33,13,48.1,10.9,9.2,43.2,51.5,"State School","Girls",49
"16",203,100183,"Plumstead Manor School","CY","NSE",232,0,100,45,57,13,41.6,9.2,7.6,38.5,44.2,"State School","Girls",42.5
"17",203,141163,"Woolwich Polytechnic School","ACC","NSE",238,100,NA,42,49,13,47.1,10.3,10,44.6,48.8,"State School","Boys",46
"18",203,141309,"Stationers' Crown Woods Academy","ACC","NSE",254,58,43,31,20,10,42.4,9.7,8.6,34.4,45.9,"State School","Mixed",41.2
"19",203,100190,"Thomas Tallis School","CY","NSE",260,64,36,39,29,7,45.6,9.5,8.7,38.5,50,"State School","Mixed",45.7
"20",203,100192,"The John Roan School","VC","NSE",221,61,39,35,30,15,39.9,9.1,7.7,32.8,43.7,"State School","Mixed",36.4
"21",203,100193,"St Ursula's Convent School","VA","NSE",116,NA,100,27,27,9,59.3,13.2,10.6,53.9,61.3,"State School","Girls",62.9
"22",203,141716,"St Thomas More Catholic Comprehensive School","ACC","NSE",123,53,47,15,14,7,59.1,12.1,11.1,54.8,59.8,"State School","Mixed",56.5
"23",203,105135,"St Paul's Academy","AC","NSE",240,56,44,39,43,14,45.1,9.4,8.7,41.2,47.7,"State School","Mixed",45.2
"24",203,136092,"Wize Up","INDSPEC",NA,25,56,44,NA,NA,NA,14,4.2,3.7,NA,NA,"Special School","Mixed",11.2
"25",203,100204,"King's Oak School","CYS",NA,9,100,NA,89,0,NA,9.6,2.1,2.2,NA,NA,"Special School","Boys",8.6
"26",204,137442,"Clapton Girls' Academy","ACC","NSE",174,NA,100,59,52,5,58.7,12.8,11,54.4,64.8,"State School","Girls",54.8
"27",204,100279,"Stoke Newington School and Sixth Form","CY","NSE",254,56,45,31,22,29,53.3,11.2,10.4,43.4,57.7,"State School","Mixed",51.7
"28",204,133599,"Yesodey Hatorah Senior Girls School","VA","NSE",68,NA,100,2,4,10,55.9,11.1,12.5,NA,NA,"State School","Girls",58.6
"29",204,100282,"Our Lady's Catholic High School","VA","NSE",121,NA,100,52,63,3,47.1,10.7,8.6,39.2,55.7,"State School","Girls",47.6
"30",204,100284,"The Urswick School - A Church of England Secondary School","VA","NSE",128,59,41,78,59,25,43.1,9.2,8.2,40.2,53.2,"State School","Mixed",40
"31",204,100285,"Cardinal Pole Catholic School","VA","NSE",167,49,51,65,64,16,48.8,10.2,9.4,46.3,53.3,"State School","Mixed",46.7
"32",204,145609,"Lubavitch House School (Senior Girls)","ACC","NSE",25,NA,100,16,16,8,49.1,10,10.4,NA,NA,"State School","Girls",NA
"33",204,139595,"Hackney New School","F","NSE",88,58,42,52,43,20,41.7,9.1,8.1,43.2,40.1,"State School","Mixed",46.7
"34",204,140210,"Mossbourne Victoria Park Academy","AC","NSE",118,56,44,52,37,18,58.6,12.4,11,53.6,63.9,"State School","Mixed",NA
"35",204,100277,"Haggerston School","CY","NSE",167,56,44,61,32,15,43.1,10.2,8.1,38.6,50,"State School","Mixed",41.4
"36",204,134693,"Mossbourne Community Academy","AC","NSE",198,61,39,48,55,18,60.6,13.1,11.5,57.4,63.5,"State School","Mixed",59
"37",204,131062,"The Petchey Academy","AC","NSE",173,60,40,64,50,38,44.5,9.8,8.6,40.5,51.7,"State School","Mixed",47.6
"38",204,131609,"The Bridge Academy","AC","NSE",167,51,49,73,59,11,48.2,10.4,8.4,47.2,50.7,"State School","Mixed",51.1
"39",204,135835,"The City Academy, Hackney","AC","NSE",172,62,38,64,38,10,47.8,9.9,9.1,44.5,53.7,"State School","Mixed",50.3
"40",204,136137,"Skinners' Academy","AC","NSE",170,57,44,58,69,21,46.7,10,9.6,44.5,49.7,"State School","Mixed",48.2
"41",204,137808,"Leaways School","INDSPEC",NA,14,86,14,NA,NA,NA,4.1,0.9,1.7,NA,NA,"Special School","Mixed",2.5
"42",204,141029,"Inspired Directions School","INDSPEC",NA,19,58,42,NA,NA,NA,0.4,0.1,0.3,NA,NA,"Special School","Mixed",NA
"43",204,100307,"Stormont House School","CYS",NA,22,55,46,68,23,NA,1.3,0.7,0,1.3,1.1,"Special School","Mixed",2.6
"44",205,136750,"West London Free School","F","NSE",128,48,52,27,7,6,61.3,12.4,11.9,52.5,64.5,"State School","Mixed",57.4
"45",205,141135,"The Fulham Boys School","F","NR",80,100,NA,31,15,10,49.1,11.3,8.6,47.6,49.8,"State School","Boys",NA
"46",205,141617,"The Hurlingham Academy","AC","NSE",73,59,41,38,55,4,55.5,12.1,10.4,52.7,57.2,"State School","Mixed",55.4
"47",205,143129,"Phoenix Academy","AC","NSE",82,56,44,68,65,13,44.8,10.2,8.3,44.3,46.1,"State School","Mixed",42.6
"48",205,139364,"Fulham College Boys' School","ACC","NSE",61,100,NA,53,51,26,37.4,8.1,7.5,37.7,37.1,"State School","Boys",47.5
"49",205,139365,"Fulham Cross Girls' School and Language College","ACC","NSE",119,NA,100,55,50,13,53.6,11.8,9.6,48.8,59.4,"State School","Girls",54.6
"50",205,137935,"Sacred Heart High School","ACC","NSE",161,NA,100,12,31,10,65.1,13.8,12.2,58.8,65.9,"State School","Girls",66
"51",205,138607,"Lady Margaret School","ACC","NSE",117,NA,100,16,19,14,64.5,14.3,11.8,55.6,66.3,"State School","Girls",66.3
"52",205,137157,"The London Oratory School","ACC","NSE",176,100,NA,9,31,15,65.1,14,11.9,57.3,65.8,"State School","Boys",63.2
"53",205,131752,"Ark Burlington Danes Academy","AC","NSE",162,48,53,54,46,12,45.6,9.5,8.7,43.2,48.4,"State School","Mixed",44.2
"54",205,136172,"Hammersmith Academy","AC","NSE",120,48,53,48,68,3,51.6,12.1,10,46.9,56,"State School","Mixed",48.2
"55",205,131675,"The Moat School","INDSPEC",NA,13,54,46,NA,NA,NA,17.2,3.2,3.8,NA,NA,"Special School","Mixed",26.7
"56",205,100378,"Queensmill School","CYS",NA,10,90,10,50,50,NA,3.8,0.4,0.4,NA,NA,"Special School","Mixed",1
"57",205,100379,"Woodlane High School","CYS",NA,19,58,42,53,42,NA,8.6,2.7,1.3,8,9.2,"Special School","Mixed",7.1
"58",205,135175,"Parayhouse School","NMSS",NA,11,73,27,NA,NA,NA,0.2,0,0.2,NA,NA,"Special School","Mixed",NA
"59",206,143659,"City of London Academy, Highgate Hill","F","NSE",67,0,100,85,36,10,47.2,10.2,8.9,46.9,48.9,"State School","Girls",44.9
"60",206,144962,"City of London Academy Highbury Grove","AC","NSE",196,74,26,62,46,18,41.8,9.2,8.6,38.3,47.3,"State School","Mixed",NA
"61",206,100453,"Beacon High","CY","NSE",144,60,40,77,24,8,32.8,7.2,6.2,30.5,40.7,"State School","Mixed",35
"62",206,100455,"Highbury Fields School","CY","NSE",139,NA,100,60,56,10,57.4,12.5,10.7,53.4,63.2,"State School","Girls",52.8
"63",206,100457,"Elizabeth Garrett Anderson School","CY","NSE",176,NA,100,64,73,15,48.2,11.2,9,46.1,52,"State School","Girls",49.4
"64",206,131690,"Arts and Media School Islington","FD","NSE",121,56,44,60,36,17,38.4,8.9,7.4,36.1,41.8,"State School","Mixed",36.1
"65",206,100458,"Central Foundation Boys' School","VA","NSE",141,100,NA,65,53,17,56.6,11.3,11.2,52.5,64,"State School","Boys",56.2
"66",206,100459,"St Aloysius RC College","VA","NSE",168,100,NA,48,69,10,50.4,10.8,9.8,47.6,53,"State School","Boys",48
"67",206,134314,"St Mary Magdalene Academy","AC","NSE",164,51,49,51,32,13,53.4,11.9,10.4,47.1,59.9,"State School","Mixed",52.3
"68",206,135587,"City of London Academy Islington","AC","NSE",113,61,39,80,50,21,41.1,9,7.9,36.8,58.2,"State School","Mixed",49.1
"69",206,139418,"St Mary Magdalene Academy: the Courtyard","FS",NA,8,63,38,75,0,NA,5.6,0.6,3.5,NA,NA,"Special School","Mixed",5.1
"70",207,140212,"Kensington Aldridge Academy","AC","NSE",164,57,43,63,37,16,46.5,10.8,8.5,44.6,49.7,"State School","Mixed",NA
"71",207,140134,"Holland Park School","ACC","NSE",227,48,52,29,63,9,61.1,13.3,11,51.8,65,"State School","Mixed",52.2
"72",207,100502,"Saint Thomas More Language College","VA","NSE",111,66,34,37,67,10,48.4,10.3,9.7,45,50.4,"State School","Mixed",44.8
"73",207,100503,"All Saints Catholic College","VA","NSE",70,0,100,53,39,14,49.6,11.7,8.6,48.6,50.7,"State School","Girls",46.9
"74",207,141931,"The Cardinal Vaughan Memorial RC School","ACC","NSE",113,100,NA,19,48,18,62.8,12.9,11.9,50.8,65.5,"State School","Boys",65.6
"75",207,135531,"Chelsea Academy","AC","NSE",169,53,47,40,63,4,53.5,11.9,10.7,48.1,57,"State School","Mixed",50.7
"76",208,139659,"Oasis Academy South Bank","F","NSE",118,47,53,60,38,25,52.9,11.4,10.2,48.6,59.5,"State School","Mixed",53.4
"77",208,140966,"Trinity Academy","F","NR",60,47,53,38,42,13,36.5,8.1,6.6,32.1,39.3,"State School","Mixed",NA
"78",208,142905,"South Bank Engineering UTC","UTC","NR",55,71,29,46,24,15,34.1,8.2,7.2,34.5,33.7,"State School","Mixed",43.4
"79",208,100624,"Norwood School","CY","NSE",122,43,57,43,40,26,49.5,10.4,7.9,45.2,52.8,"State School","Mixed",45
"80",208,100625,"Lilian Baylis Technology School","CY","NSE",116,54,46,53,63,9,46.3,10,8.8,43.9,49,"State School","Mixed",45.6
"81",208,136450,"Platanos College","ACC","NSE",186,50,50,60,72,25,42.2,9.2,8.7,42.2,42.1,"State School","Mixed",45.9
"82",208,100627,"Saint Gabriel's College","VA","NSE",94,44,56,50,54,11,42.2,9.3,8,41.9,42.6,"State School","Mixed",41.7
"83",208,144309,"The Elmgreen School","ACC","NSE",171,57,43,36,49,19,39.3,8.4,7.5,33.5,42.6,"State School","Mixed",43.9
"84",208,100637,"La Retraite Roman Catholic Girls' School","VA","NSE",149,NA,100,36,48,12,51.1,11.4,9.6,48.1,52.7,"State School","Girls",50.2
"85",208,100638,"Bishop Thomas Grant Catholic Secondary School","VA","NSE",170,57,44,23,44,11,56.1,11.4,10.7,48.8,58.2,"State School","Mixed",55
"86",208,137093,"Dunraven School","ACC","NSE",211,51,49,41,22,17,51.2,10.5,10.6,44.2,56.1,"State School","Mixed",48.2
"87",208,137966,"St Martin in the Fields High School for Girls","ACC","NSE",111,NA,100,45,48,16,43.4,9.6,7.7,38.4,47.5,"State School","Girls",42.1
"88",208,134815,"Lambeth Academy","AC","NSE",155,57,43,61,43,20,45.2,10.5,8.8,41.6,50.8,"State School","Mixed",45
"89",208,135389,"Ark Evelyn Grace Academy","AC","NSE",152,53,47,76,59,11,35.1,8,6.2,34.8,36,"State School","Mixed",38.1
"90",208,137954,"City Heights E-ACT Academy","AC","NSE",129,58,42,64,39,7,40.7,10.2,7.9,38.5,44.7,"State School","Mixed",39.4
"91",208,138803,"Octavia House Schools","INDSPEC",NA,8,88,13,NA,NA,NA,3,1.5,1,NA,NA,"Special School","Mixed",4.2
"92",208,100654,"Lansdowne School","CYS",NA,15,80,20,73,40,NA,1.2,0,0,NA,NA,"Special School","Mixed",1.4
"93",208,100659,"Elm Court School","CYS",NA,19,90,11,100,32,NA,2.7,0,1.2,2.7,NA,"Special School","Mixed",2.3
"94",209,100740,"Deptford Green School","CY","NSE",145,53,47,48,32,11,37.2,8.4,7.7,32,42.1,"State School","Mixed",43.5
"95",209,100741,"Sydenham School","CY","NSE",222,1,100,33,32,9,51.1,11.8,9,42.3,55.3,"State School","Girls",51.6
"96",209,100742,"Conisborough College","CY","NSE",166,59,41,43,33,18,34.9,8.2,7.1,27.9,40.2,"State School","Mixed",35
"97",209,100743,"Sedgehill School","CY","NSE",195,55,45,46,30,13,40.1,9.2,7.4,34.5,44.8,"State School","Mixed",36.8
"98",209,100745,"Forest Hill School","CY","NSE",208,100,NA,35,23,25,42.8,9.5,8.6,32,48.7,"State School","Boys",45.8
"99",209,100747,"Prendergast Ladywell School","FD","NSE",138,50,50,48,53,8,41.4,8.6,8,38.2,44.3,"State School","Mixed",41.5
"100",209,100748,"Addey and Stanhope School","VA","NSE",99,54,47,51,74,15,43.9,9.9,8.6,41.5,46.4,"State School","Mixed",47
"101",209,100749,"Trinity Church of England School, Lewisham","VA","NSE",108,62,38,35,27,14,43.7,9.6,8.6,39.8,45.9,"State School","Mixed",47
"102",209,100750,"Prendergast School","VA","NSE",108,NA,100,27,28,12,56,12.7,10,45.7,59.8,"State School","Girls",55.7
"103",209,100752,"Bonus Pastor Catholic College","VA","NSE",145,56,44,45,13,11,46.2,9.7,8.8,45,47.2,"State School","Mixed",47.5
"104",209,135843,"Prendergast Vale School","FD","NSE",107,59,41,41,39,17,42.8,9.4,8.3,39.3,45.2,"State School","Mixed",48.2
"105",209,135073,"Haberdashers' Aske's Hatcham College","AC","NSE",200,51,50,37,17,10,48.6,10.5,9.4,37.3,55.1,"State School","Mixed",49.7
"106",209,135070,"Haberdashers' Aske's Knights Academy","AC","NSE",160,58,43,41,23,18,45.3,9.7,8.9,42,47.7,"State School","Mixed",46.3
"107",209,135264,"St Matthew Academy","AC","NSE",149,52,48,55,38,11,48.5,10.7,9.1,44.9,53,"State School","Mixed",48
"108",209,100760,"Brent Knoll School","FDS",NA,18,89,11,78,11,NA,1.7,0.4,1.3,NA,NA,"Special School","Mixed",1.5
"109",210,139587,"Compass School Southwark","F","NSE",56,61,39,59,39,23,46.3,10.3,8.2,44.3,49.3,"State School","Mixed",40.5
"110",210,139718,"Ark All Saints Academy","AC","NSE",112,45,55,49,44,27,43.6,8.9,8.2,37.9,49,"State School","Mixed",41.9
"111",210,140221,"University Academy of Engineering South Bank","AC",NA,99,67,33,54,37,20,41.3,9.3,8.1,39.2,43.7,"State School","Mixed",NA
"112",210,145313,"Bacon's College","AC","NSE",167,47,53,61,52,19,50.6,11.2,9.7,48.5,53.9,"State School","Mixed",NA
"113",210,136309,"Kingsdale Foundation School","ACC","NSE",239,51,49,23,22,25,54.9,12,10.2,46.8,57.4,"State School","Mixed",55.9
"114",210,136298,"The Charter School North Dulwich","ACC","NSE",168,51,49,23,7,18,60.5,13.3,11.8,38.1,67.3,"State School","Mixed",59.9
"115",210,100849,"St Saviour's and St Olave's Church of England School","VA","NSE",123,NA,100,36,11,14,55.2,12.1,10.5,51.2,57.5,"State School","Girls",56.7
"116",210,100857,"The St Thomas the Apostle College","VA","NSE",113,100,NA,47,56,9,53.4,10.4,10.1,53.3,53.5,"State School","Boys",53.8
"117",210,138961,"St Michael's Catholic College","ACC","NSE",128,56,45,47,25,27,53.4,11.8,9.8,52.2,54.6,"State School","Mixed",54.2
"118",210,100859,"Notre Dame Roman Catholic Girls' School","VA","NSE",116,NA,100,53,51,19,48.3,11.4,8.4,46.6,50.3,"State School","Girls",47.4
"119",210,138960,"Sacred Heart Catholic School","ACC","NSE",134,55,46,41,46,18,55.5,11.5,10.4,53.5,56.9,"State School","Mixed",55
"120",210,134222,"City of London Academy (Southwark)","AC","NSE",234,55,45,67,36,15,44.7,10.6,8,42.6,49.1,"State School","Mixed",52.8
"121",210,134225,"Harris Academy Peckham","AC","NSE",102,56,44,58,47,11,41,9.2,7.3,38.8,44.1,"State School","Mixed",42.9
"122",210,131747,"Harris Academy Bermondsey","AC","NSE",130,NA,100,59,53,17,53.4,12.5,8.8,51.6,55.9,"State School","Girls",53.3
"123",210,132711,"Harris Girls' Academy East Dulwich","AC","NSE",134,NA,100,52,48,13,51.8,12.1,9.4,48.3,55.7,"State School","Girls",52.3
"124",210,135315,"Ark Walworth Academy","AC","NSE",165,56,44,69,59,13,42.1,10.1,8,41.5,43.3,"State School","Mixed",40.6
"125",210,135584,"Ark Globe Academy","AC","NSE",113,58,43,65,44,10,45.8,9.7,8.4,43.3,50.5,"State School","Mixed",46.6
"126",210,135816,"Harris Boys' Academy East Dulwich","AC","NSE",137,100,NA,49,43,21,52.4,10.1,9.3,49.5,55.2,"State School","Boys",55.1
"127",210,141701,"Phoenixplace","INDSPEC",NA,7,NA,100,NA,NA,NA,0.3,0,0.3,NA,NA,"Special School","Girls",NA
"128",210,131237,"Cavendish School","INDSPEC",NA,9,78,22,NA,NA,NA,4.7,1.1,2.7,NA,NA,"Special School","Mixed",2.2
"129",210,140138,"Newlands Academy","ACCS",NA,14,100,NA,86,21,NA,21.2,5.4,4.3,NA,NA,"Special School","Boys",14.7
"130",211,138202,"Wapping High School","F","NSE",40,50,50,53,55,33,47.8,11.1,9.7,41.7,54.5,"State School","Mixed",43.3
"131",211,141133,"London Enterprise Academy","F","NR",114,63,37,61,98,12,44.8,9.9,9.1,45.2,44.3,"State School","Mixed",NA
"132",211,144756,"Mulberry UTC","UTC","NSE",29,35,66,62,35,45,37.6,8.8,7,36.9,38.6,"State School","Mixed",NA
"133",211,100965,"Bow School","CY","NSE",156,74,26,57,64,13,42.1,8.9,8.8,37.6,48.2,"State School","Mixed",42.3
"134",211,100966,"Langdon Park Community School","CY","NSE",167,49,51,70,86,17,44.5,9.9,8.3,42,50.5,"State School","Mixed",43.4
"135",211,100967,"Morpeth School","CY","NSE",228,57,43,55,75,38,48.6,11,9.3,44.2,54.1,"State School","Mixed",45.6
"136",211,143629,"Mulberry School for Girls","ACC","NSE",209,NA,100,58,95,10,51.3,11.5,8.9,49.4,53.8,"State School","Girls",54
"137",211,144700,"Stepney Green Mathematics and Computing College","ACC","NSE",168,100,NA,55,94,13,52.2,11.7,10.6,49.8,55.2,"State School","Boys",NA
"138",211,143379,"St Paul's Way Trust School","ACC","NSE",232,52,48,63,80,23,50.9,11.5,9.5,49.4,53.7,"State School","Mixed",49
"139",211,137789,"Mulberry Academy Shoreditch","ACC","NSE",157,51,49,70,78,8,46.1,10.6,9.1,43.5,52.2,"State School","Mixed",48.5
"140",211,100972,"Oaklands School","CY","NSE",110,46,54,60,60,21,54.3,11.3,10.3,53.1,56.2,"State School","Mixed",51.5
"141",211,100973,"Swanlea School","CY","NSE",196,62,38,54,94,26,54.2,11.6,10.6,50.8,58.2,"State School","Mixed",48.8
"142",211,133289,"Bishop Challoner Boys' School","VA","NSE",111,100,NA,58,32,18,44.2,9.5,8.6,39.9,50,"State School","Boys",46.2
"143",211,100974,"George Green's School","VC","NSE",185,51,49,71,80,29,47.7,10.5,9.2,45.5,53.1,"State School","Mixed",45.5
"144",211,100975,"Central Foundation Girls' School","VA","NSE",236,NA,100,56,39,6,56,12.6,9.9,54,58.5,"State School","Girls",52.9
"145",211,100977,"Sir John Cass Foundation and Redcoat Church of England Secondary School","VA","NSE",191,58,42,56,76,14,53.9,11.1,10.3,53.8,54.1,"State School","Mixed",51.6
"146",211,100978,"Bishop Challoner Girls' School","VA","NSE",132,NA,100,51,36,11,52,11.5,9.8,45.6,58.7,"State School","Girls",50.8
"147",211,100979,"Raine's Foundation School","VA","NSE",74,47,53,60,35,19,39.7,9.2,7.7,37,43.8,"State School","Mixed",34.9
"148",211,143630,"Ian Mikardo School","ACCS",NA,7,100,NA,100,29,NA,2.1,0,1.1,2.1,NA,"Special School","Boys",NA
"149",212,138267,"Ark Bolingbroke Academy","F","NSE",111,48,52,28,26,17,52,11.5,10.2,46.2,54.2,"State School","Mixed",54.1
"150",212,140985,"Harris Academy Battersea","AC","NR",115,54,46,66,55,17,54.4,11.7,9.8,53.3,56.4,"State School","Mixed",56.8
"151",212,135762,"Saint John Bosco College","VA","NSE",45,56,44,29,64,22,48.4,10,8.6,50.6,47.5,"State School","Mixed",43.6
"152",212,141808,"Saint Cecilia's Church of England School","ACC","NSE",135,47,53,31,30,16,51.4,11.6,9.5,42.5,55.5,"State School","Mixed",54
"153",212,138681,"Ark Putney Academy","ACC","NSE",78,60,40,50,30,15,43.6,9.8,8.3,36.1,51,"State School","Mixed",48.5
"154",212,138682,"Southfields Academy","ACC","NSE",164,54,46,42,54,41,44.2,8.9,8.9,40.2,47.1,"State School","Mixed",45.4
"155",212,135316,"Ashcroft Technology Academy","AC","NSE",199,62,38,41,62,35,57.8,12.2,11.6,51.7,62.1,"State School","Mixed",62.3
"156",212,136110,"The Priory Lodge School","INDSPEC",NA,15,53,47,NA,NA,NA,18.3,4.9,6.4,NA,NA,"Special School","Mixed",13.8
"157",212,101175,"Centre Academy London","INDSPEC",NA,7,57,43,NA,NA,NA,17.9,3.7,4,NA,NA,"Special School","Mixed",NA
"158",212,143175,"Nightingale Community Academy","ACS",NA,10,100,NA,90,0,NA,5.8,1.7,1.2,NA,NA,"Special School","Boys",8.9
"159",212,101094,"Oak Lodge School","CYS",NA,15,60,40,40,53,NA,1.7,0,0,3.3,0.6,"Special School","Mixed",3.4
"160",212,101103,"Garratt Park School","CYS",NA,27,78,22,70,26,NA,6.3,0.9,0.8,5.7,7.6,"Special School","Mixed",1.7
"161",213,140884,"Marylebone Boys' School","F","NSE",104,100,NA,30,42,13,49.6,10.7,10.5,40.2,53.6,"State School","Boys",NA
"162",213,144819,"Sir Simon Milton Westminster University Technical College","UTC","NR",50,72,28,44,2,12,40.6,9.1,9.3,36.4,43.8,"State School","Mixed",NA
"163",213,145126,"Harris Academy St John's Wood","AC","NR",181,48,52,56,86,12,54,12,9.8,53.1,55.1,"State School","Mixed",52.8
"164",213,138313,"The Grey Coat Hospital","ACC","NSE",153,NA,100,24,22,16,64,13.6,11.3,58.9,65.7,"State School","Girls",63.7
"165",213,137353,"The St Marylebone CofE School","ACC","NSE",146,NA,100,28,49,12,62.2,13.2,11.2,52.5,65.9,"State School","Girls",60.8
"166",213,138312,"Westminster City School","ACC","NSE",109,100,NA,35,44,17,48.4,10,9.3,45.5,49.9,"State School","Boys",43.3
"167",213,101154,"St Augustine's CofE High School","VA","NSE",153,47,53,53,86,38,49.7,10.8,9.8,49.1,50.4,"State School","Mixed",46.1
"168",213,139369,"St George's Catholic School","ACC","NSE",149,54,46,44,40,31,51,10.6,9.5,48.3,53.2,"State School","Mixed",53.5
"169",213,130912,"Paddington Academy","AC","NSE",175,50,50,65,93,12,54.6,10.9,11,53.7,56.4,"State School","Mixed",54.2
"170",213,131262,"Westminster Academy","AC","NSE",168,56,44,56,77,32,51.9,10.9,9.8,48.1,56.7,"State School","Mixed",52.9
"171",213,135242,"Ark King Solomon Academy","AC","NSE",61,48,53,71,67,13,58.5,13,10.3,56.7,62.7,"State School","Mixed",51.8
"172",213,135676,"Pimlico Academy","AC","NSE",192,52,48,59,63,11,53,11,9.8,50.4,56.8,"State School","Mixed",53.9
"173",213,101173,"Fairley House School","INDSPEC",NA,20,65,35,NA,NA,NA,24.8,3,5.8,NA,NA,"Special School","Mixed",22.7
"174",213,139600,"The St Marylebone Church of England Bridge School","FS",NA,9,78,22,89,56,NA,4.8,2.1,1.6,NA,NA,"Special School","Mixed",2.6
"175",301,141178,"The Warren School","AC","NSE",191,57,43,39,57,19,43.1,9.2,7.9,37.3,46.8,"State School","Mixed",46
"176",301,140945,"Elutec","UTC","NR",59,85,15,22,31,12,34.3,7.7,8.3,25.3,36.8,"State School","Mixed",40.2
"177",301,101241,"Barking Abbey School, A Specialist Sports and Humanities College","CY","NSE",271,54,47,31,63,7,49.3,10.4,9.6,42.4,52.4,"State School","Mixed",49.2
"178",301,101243,"Eastbrook School","CY","NSE",172,54,47,38,40,13,34.8,7.5,6.9,33.8,35.4,"State School","Mixed",37.5
"179",301,101244,"Eastbury Community School","CY","NSE",295,46,54,39,63,9,47.9,10.1,9.5,44,50.4,"State School","Mixed",46.7
"180",301,101245,"Robert Clack School","CY","NSE",269,57,43,38,35,12,45.8,9.6,9.2,37.1,51.2,"State School","Mixed",46.4
"181",301,141683,"The Sydney Russell School","ACC","NSE",315,48,52,42,22,11,50.1,11.1,9.5,45.5,53.3,"State School","Mixed",47.3
"182",301,133561,"Jo Richardson Community School","CY","NSE",221,52,48,47,14,12,49.3,10.5,9.3,44.2,53.7,"State School","Mixed",46.2
"183",301,101247,"All Saints Catholic School and Technology College","VA","NSE",219,53,48,26,40,3,53.6,11.7,10.3,46.6,56,"State School","Mixed",51.9
"184",301,136028,"Dagenham Park CofE School","VC","NSE",202,51,49,35,54,15,43,9.2,8,34.6,47.6,"State School","Mixed",39.5
"185",301,134388,"Hopewell School (Harmony House)","INDSPEC",NA,9,89,11,NA,NA,NA,4.3,1.1,2.2,NA,NA,"Special School","Mixed",NA
"186",302,137361,"Whitefield School","ACC","NSE",125,58,42,51,68,10,41.9,9.6,7.9,41,43,"State School","Mixed",36.5
"187",302,137131,"Queen Elizabeth's Girls' School","ACC","NSE",173,NA,100,30,34,9,60.6,12.8,11.4,56.5,62.3,"State School","Girls",58.7
"188",302,138685,"Copthall School","ACC","NSE",153,NA,100,37,71,20,52.6,11.7,9.5,49.4,54.5,"State School","Girls",52.5
"189",302,137388,"Christ's College Finchley","ACC","NSE",116,100,0,37,59,17,51.7,11.5,10.5,45.4,55.4,"State School","Boys",50.9
"190",302,136658,"East Barnet School","ACC","NSE",199,60,40,19,43,18,51.1,10.8,10.3,43,53,"State School","Mixed",48.6
"191",302,136418,"The Compton School","ACC","NSE",208,49,51,36,42,14,52.8,11.4,10.1,46.6,56.3,"State School","Mixed",52.4
"192",302,138051,"The Henrietta Barnett School","ACC","SEL",103,NA,100,3,41,2,85.2,16.8,17,NA,NA,"Grammar School","Girls",85.9
"193",302,137645,"Hendon School","ACC","NSE",200,55,45,41,55,32,47.3,10.7,9.3,42.3,50.7,"State School","Mixed",44.1
"194",302,136290,"Queen Elizabeth's School, Barnet","ACC","SEL",180,100,NA,7,45,0,84.6,16.4,17.3,79.3,85,"Grammar School","Boys",84.8
"195",302,101361,"St Michael's Catholic Grammar School","VA","SEL",94,NA,100,7,48,19,77.6,14.9,14.9,65,78.6,"Grammar School","Girls",80
