"convo_id","message_from","created_at"
25,"user",2020-07-21 11:06:59
25,"admin",2020-07-21 11:12:26
25,"user",2020-07-21 11:32:25
25,"user",2020-07-21 11:32:34
25,"admin",2020-07-21 11:33:55
25,"user",2020-07-21 11:34:11
25,"user",2020-07-21 11:34:18
25,"admin",2020-07-21 11:34:35
25,"user",2020-07-21 11:34:59
25,"admin",2020-07-21 11:35:24
26,"lead",2020-07-21 09:48:23
26,"admin",2020-07-21 09:49:01
27,"user",2020-07-21 09:51:57
27,"admin",2020-07-21 09:53:02
27,"admin",2020-07-21 09:54:42
27,"admin",2020-07-21 09:54:45
27,"user",2020-07-21 10:54:54
27,"admin",2020-07-21 10:54:55
27,"user",2020-07-21 10:55:18
27,"admin",2020-07-21 11:04:40
27,"admin",2020-07-21 11:04:45
27,"user",2020-07-21 11:05:31
27,"admin",2020-07-21 11:10:52
27,"user",2020-07-21 11:11:10
27,"admin",2020-07-21 11:13:00
27,"user",2020-07-21 11:19:06
27,"admin",2020-07-21 11:20:52
27,"admin",2020-07-21 11:21:45
28,"user",2020-07-21 10:10:55
28,"admin",2020-07-21 11:08:26
28,"admin",2020-07-21 11:08:31
28,"user",2020-07-21 13:08:28
28,"admin",2020-07-21 13:08:29
28,"admin",2020-07-21 13:11:12
28,"user",2020-07-21 18:18:19
28,"admin",2020-07-21 18:18:19
28,"admin",2020-07-21 19:16:08
28,"user",2020-07-21 19:29:00
28,"admin",2020-07-22 20:10:29
29,"user",2020-07-21 10:19:53
29,"admin",2020-07-21 15:12:28
29,"user",2020-07-21 15:49:40
29,"user",2020-07-21 15:49:53
29,"admin",2020-07-21 16:02:40
29,"admin",2020-07-21 16:02:42
30,"user",2020-07-21 10:49:46
30,"admin",2020-07-21 11:01:01
30,"admin",2020-07-21 11:01:06
30,"user",2020-07-21 11:12:41
30,"user",2020-07-21 11:13:05
30,"user",2020-07-21 11:13:10
30,"admin",2020-07-21 11:13:30
30,"user",2020-07-21 11:13:45
30,"admin",2020-07-21 11:17:07
30,"admin",2020-07-21 11:17:17
30,"user",2020-07-21 11:18:01
30,"admin",2020-07-21 11:19:30
30,"user",2020-07-21 11:20:08
30,"admin",2020-07-21 11:20:28
31,"user",2020-07-21 11:04:13
31,"admin",2020-07-21 15:11:01
31,"user",2020-07-22 10:12:11
31,"admin",2020-07-22 10:12:12
31,"admin",2020-07-22 10:12:52
31,"admin",2020-07-22 10:13:24
31,"admin",2020-07-22 21:20:01
31,"user",2020-07-23 09:57:12
31,"admin",2020-07-23 09:57:13
31,"admin",2020-07-23 10:03:00
32,"user",2020-07-21 11:10:09
32,"admin",2020-07-21 11:15:49
32,"admin",2020-07-21 11:15:59
32,"admin",2020-07-21 11:16:03
32,"user",2020-07-21 11:16:06
32,"admin",2020-07-21 11:17:40
32,"admin",2020-07-21 11:23:39
32,"admin",2020-07-23 01:10:52
33,"user",2020-07-21 11:14:20
33,"admin",2020-07-21 11:16:45
33,"admin",2020-07-21 11:16:49
33,"admin",2020-07-21 11:24:35
33,"admin",2020-07-21 11:24:38
34,"user",2020-07-21 11:26:46
34,"user",2020-07-21 11:27:16
34,"user",2020-07-21 11:27:33
34,"admin",2020-07-21 11:30:13
34,"admin",2020-07-21 11:30:17
34,"user",2020-07-21 11:31:00
34,"admin",2020-07-21 11:32:32
